kingdom	phylum	class	order	family	genus	species	sample_id	WF_50	WF_51	WF_52	WF_53	WF_54	WF_55	WF_56	WF_57	WF_58	WF_59	WF_25	WF_24	WF_27	WF_26	WF_21	WF_20	WF_23	WF_22	WF_29	WF_28	WF_36	WF_37	WF_34	WF_35	WF_32	WF_33	WF_30	WF_31	WF_38	WF_39	WF_89	WF_88	WF_83	WF_82	WF_81	WF_80	WF_87	WF_86	WF_85	WF_84	WF_94	WF_95	WF_96	WF_97	WF_90	WF_91	WF_92	WF_93	WF_204	WF_202	WF_203	WF_201	WF_18	WF_19	WF_14	WF_15	WF_16	WF_17	WF_10	WF_11	WF_12	WF_13	WF_69	WF_68	WF_61	WF_60	WF_63	WF_62	WF_65	WF_64	WF_67	WF_66	WF_6	WF_7	WF_4	WF_5	WF_2	WF_3	WF_1	WF_8	WF_9	WF_78	WF_79	WF_72	WF_73	WF_70	WF_71	WF_76	WF_77	WF_74	WF_75	WF_47	WF_46	WF_45	WF_44	WF_43	WF_42	WF_41	WF_40	WF_49	WF_48
d__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Bifidobacteriaceae	g__Bifidobacterium	Bifidobacterium sp.	OTU-12036	2676	1355	966	1417	408	943	409	569	453	0	1236	231	175	115	0	116	181	249	114	295	289	132	172	271	354	207	357	0	139	210	0	120	0	0	0	178	119	0	0	0	0	0	0	0	0	0	0	0	0	132	178	199	1269	759	3341	855	792	834	3159	1302	3498	683	3402	1679	0	0	0	564	147	0	0	472	749	0	1013	689	4719	1408	0	0	506	197	319	263	193	265	200	934	544	240	405	0	1947	0	615	568	683	2905	343	283	3829
d__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Bifidobacteriaceae	g__Bifidobacterium	Bifidobacterium sp.	OTU-12586	892	477	0	518	0	305	0	334	0	0	0	0	2057	1772	0	1352	0	0	1097	432	0	0	0	0	318	653	665	312	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	385	8236	0	0	266	9881	0	9680	0	0	0	0	0	0	0	0	0	0	0	0	0	0	518	16210	773	0	1319	0	0	0	0	0	0	0	0	0	0	0	0	502	0	0	382	0	488	0	0	1212
d__Bacteria	p__Actinobacteria	c__Coriobacteriia	d__Bacteria	p__23	c__115	Coriobacteriia HGM04054	OTU-12232	0	2094	0	4604	0	6513	0	3758	0	0	0	0	1296	390	0	311	0	0	4029	0	0	0	0	0	0	2756	0	4732	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	386	0	0	0	495	0	286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	220	1223	0	0	0	0	0	3210	1742	0	8280	0	0	0	0	9525	0	0	0	0	0
d__Bacteria	p__Actinobacteria	c__Coriobacteriia	o__Coriobacteriales	f__Atopobiaceae	d__Bacteria	Atopobiaceae HGM04062	OTU-11991	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1920	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1838	0	0	0	975	0	1850	0	7585	10140	0	0	0	1326	0	0	3350	8478	0	0	0	0	776	430	0	0	0	798	464	0	1689	0	0	0	672	2507	2066	0	0	0	0	0	0	0	0	0	0
d__Bacteria	p__Actinobacteria	c__Coriobacteriia	o__Coriobacteriales	f__Coriobacteriaceae	g__Collinsella	Collinsella HGM04136	OTU-14135	0	0	0	0	0	0	0	0	0	0	0	3188	4001	4024	0	3452	0	1505	4029	0	0	8348	0	2166	0	3911	0	2725	0	2506	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	393	0	1721	0	0	0	0	0	0	0	0	0	0	0	0	0	0	541	0	480	468	0	0	0	0	0	0	0	0	0	3201	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria	p__Actinobacteria	c__Coriobacteriia	o__Coriobacteriales	f__Coriobacteriaceae	g__Collinsella	Collinsella HGM04141	OTU-11952	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8304	0	0	0	0	12457	0	20177	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1117	0	0	0	956	0	799	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	822	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria	p__Actinobacteria	c__Coriobacteriia	o__Coriobacteriales	f__Coriobacteriaceae	g__Collinsella	Collinsella HGM04143	OTU-12282	1251	797	548	1233	246	627	396	651	168	602	1151	614	192	305	0	446	75	337	228	1155	664	697	884	434	1234	130	1286	93	104	649	0	306	449	214	291	487	343	220	232	447	0	0	0	0	0	0	0	0	133	302	267	0	1839	420	541	438	1590	329	436	422	501	318	0	0	0	574	133	0	152	100	0	0	2256	0	1759	402	987	545	0	413	154	221	609	335	529	146	178	144	549	550	273	0	907	0	497	689	394	1387	123	0	464
d__Bacteria	p__Actinobacteria	c__Coriobacteriia	o__Coriobacteriales	f__Coriobacteriaceae	g__Collinsella	Collinsella HGM04147	OTU-05577	6607	1566	0	754	0	1857	0	469	0	0	3855	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	570	0	0	0	0	309	0	0	0	220	269	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	850	472	0	0	256	940	0	772	0	0	0	0	0	189	0	232	263	0	0	0	0	0	467	2007	0	0	0	0	0	726	0	0	210	191	518	876	0	331	0	9643	0	0	479	0	2940	0	0	3783
d__Bacteria	p__Actinobacteria	c__Coriobacteriia	o__Coriobacteriales	f__Coriobacteriaceae	g__Collinsella	Collinsella HGM04148	OTU-11556	0	9720	0	3821	0	4710	0	3530	0	0	4846	0	2850	2457	0	1963	0	0	394	0	0	0	0	0	0	346	0	779	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1642	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3466	0	0	0	0	0
d__Bacteria	p__Actinobacteria	c__Coriobacteriia	o__Coriobacteriales	f__Coriobacteriaceae	g__Collinsella	Collinsella HGM04170	OTU-12009	1819	567	113	1266	0	488	62	696	0	88	1866	161	124	123	0	113	0	121	162	823	113	0	58	91	1394	103	1858	0	0	73	0	0	0	0	0	0	118	0	0	0	0	0	0	0	0	0	0	0	0	0	160	101	2946	866	132	558	1330	833	409	1132	129	559	0	0	0	0	260	0	402	249	0	0	1769	0	2560	816	288	1308	0	103	659	309	0	546	0	422	316	339	725	0	327	0	1305	0	64	514	100	2315	60	181	2935
d__Bacteria	p__Actinobacteria	c__Coriobacteriia	o__Coriobacteriales	f__Coriobacteriaceae	g__Collinsella	Collinsella HGM04171	OTU-12850	1500	3511	0	3007	0	2197	0	1339	0	0	0	0	0	0	0	0	0	0	0	1870	0	0	0	0	2532	0	4646	0	0	0	0	0	1670	0	0	428	0	2350	1485	1496	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	293	1634	0	612	0	0	834	850	740	1662	0	1885	0	0	1936	0	0	0	0	1394
d__Bacteria	p__Actinobacteria	c__Coriobacteriia	o__Coriobacteriales	f__Coriobacteriaceae	g__Collinsella	Collinsella HGM04179	OTU-10221	0	0	0	0	0	0	0	0	0	382	0	0	0	0	0	0	3621	0	0	0	2418	0	877	0	0	0	0	0	4551	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19072	0	0	0	0	2169	0	0
d__Bacteria	p__Actinobacteria	c__Coriobacteriia	o__Coriobacteriales	f__Coriobacteriaceae	g__Collinsella	Collinsella HGM04189	OTU-10841	0	9540	0	1057	0	9479	0	828	0	0	0	0	0	0	0	0	0	0	2203	0	0	0	0	0	0	1659	0	701	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3014	0	0	0	0	0
d__Bacteria	p__Actinobacteria	c__Coriobacteriia	o__Coriobacteriales	f__Coriobacteriaceae	g__Collinsella	Collinsella HGM04195	OTU-11459	0	0	0	0	0	0	0	0	0	0	28242	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria	p__Actinobacteria	c__Coriobacteriia	o__Coriobacteriales	f__Coriobacteriaceae	g__Collinsella	Collinsella HGM04211	OTU-10021	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27452	0	0	0	0	0	0	0
d__Bacteria	p__Actinobacteria	c__Coriobacteriia	o__Coriobacteriales	f__Coriobacteriaceae	g__Collinsella	Collinsella HGM04212	OTU-12876	0	0	0	0	0	0	0	0	0	0	0	0	1351	1386	0	1285	0	0	877	0	0	0	0	0	0	569	0	547	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1063	0	0	3392	0	0	0	6128	0	2495	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6594	0	0	1107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	329	0
d__Bacteria	p__Actinobacteria	c__Coriobacteriia	o__Coriobacteriales	f__Coriobacteriaceae	g__Collinsella	Collinsella HGM04214	OTU-10790	0	0	0	0	0	0	0	0	0	0	0	0	5232	6297	0	4498	0	0	1795	0	0	0	0	0	0	2064	0	2203	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3851	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria	p__Actinobacteria	c__Coriobacteriia	o__Coriobacteriales	f__Coriobacteriaceae	g__Collinsella	Collinsella HGM04227	OTU-01767	49	0	0	0	0	0	0	0	0	71	64	279	53	120	0	134	1446	230	198	256	3475	112	4946	228	102	187	502	145	3221	112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	250	80	242	0	116	97	0	503	210	117	0	453	0	323	0	0	0	527	0	0	0	0	0	0	1553	0	1387	63	0	64	0	134	19	17	0	0	36	0	0	52	46	17	62	0	0	0	0	0	0	71	3354	0	86
d__Bacteria	p__Actinobacteria	c__Coriobacteriia	o__Coriobacteriales	f__Coriobacteriaceae	g__Collinsella	Collinsella HGM04228	OTU-05704	3618	0	0	0	0	0	0	0	0	0	6924	0	0	0	0	0	356	0	0	0	0	699	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	869	0	0	0	749	0	455	0	0	0	0	0	0	0	0	0	5803	0	0	0	0	4075	0	0	1570
d__Bacteria	p__Actinobacteria	c__Coriobacteriia	o__Coriobacteriales	f__Coriobacteriaceae	g__Collinsella	Collinsella HGM04263	OTU-11569	0	0	0	0	0	0	0	0	0	0	24365	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	387	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria	p__Actinobacteria	c__Coriobacteriia	o__Coriobacteriales	f__Coriobacteriaceae	g__Collinsella	Collinsella HGM04274	OTU-14137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1036	1132	309	331	0	1321	2236	1414	740	0	0	0	0	0	0	0	0	0	0	0	0	0	368	0	3418	0	334	0	3310	0	1617	734	957	0	0	0	1953	0	0	641	906	0	0	0	0	0	0	0	0	1561	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria	p__Actinobacteria	c__Coriobacteriia	o__Coriobacteriales	f__Coriobacteriaceae	g__Collinsella	Collinsella HGM04277	OTU-12399	0	2120	0	3759	0	1349	0	2668	0	0	0	0	0	0	0	0	0	0	0	0	0	542	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	527	367	0	0	0	0	0	0	0	0	0	0	0	0	0	1603	491	0	0	596	0	0	0	0	2311	1992	0	0	0	0	0	0	0	0	0	0	0	0	792	0	0	0	0	790	0	0	0	0	0	0	0	0	0	0	0	0	0	4344	0	0	0	0	0
d__Bacteria	p__Actinobacteria	c__Coriobacteriia	o__Coriobacteriales	f__Coriobacteriaceae	g__Collinsella	Collinsella HGM04282	OTU-01788	93	369	0	399	0	370	0	788	96	103	91	76	95	117	0	109	967	127	372	0	3600	54	2251	110	0	425	39	228	1501	92	0	73	0	137	76	0	133	0	0	0	0	0	0	0	0	0	0	0	129	148	150	1381	303	124	0	797	323	112	0	664	0	429	441	364	0	145	127	122	107	73	109	98	863	0	736	79	0	101	0	108	40	0	35	149	87	69	76	0	0	103	0	0	43	0	0	599	0	220	1212	0	145
d__Bacteria	p__Actinobacteria	c__Coriobacteriia	o__Coriobacteriales	f__Coriobacteriaceae	g__Collinsella	Collinsella HGM04289	OTU-11449	0	4520	0	5122	0	4837	0	4477	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3343	0	0	0	0	0
d__Bacteria	p__Actinobacteria	c__Coriobacteriia	o__Coriobacteriales	f__Coriobacteriaceae	g__Collinsella	Collinsella HGM04294	OTU-12281	0	0	0	0	0	0	0	0	374	0	0	0	0	0	0	0	1007	0	0	415	0	0	0	0	375	0	405	0	1054	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	361	0	0	0	0	3875	591	0	0	3182	587	3798	423	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1067	0	0	0	175	0	0	0	0	0	0	386	459	215	603	0	0	0	0	0	0	0	1107	1370	0
d__Bacteria	p__Actinobacteria	c__Coriobacteriia	o__Coriobacteriales	f__Coriobacteriaceae	g__Collinsella	Collinsella sp.	OTU-12040	465	0	0	0	0	0	0	0	0	0	0	0	0	0	0	352	0	0	372	576	0	0	0	0	671	0	1063	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	577	620	2466	0	519	648	2927	0	2757	0	0	0	0	0	0	0	0	0	0	0	0	0	0	534	4296	943	0	0	0	0	0	0	584	0	0	0	0	337	0	0	0	0	0	0	0	426	0	0	441
d__Bacteria	p__Actinobacteria	c__Coriobacteriia	o__Coriobacteriales	f__Coriobacteriaceae	g__Collinsella	Collinsella HGM04299	OTU-11504	1306	1520	0	2191	0	1108	0	617	0	0	1033	515	0	0	0	0	0	0	0	0	0	446	0	550	0	0	0	0	0	0	0	0	0	635	0	0	943	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	470	0	0	0	0	0	0	0	0	354	0	0	0	0	0	0	0	0	0	0	0	707	0	0	0	0	949	1036	0	0	0	0	0	1271	0	0	684	0	1688	0	0	3219
d__Bacteria	p__Actinobacteria	c__Coriobacteriia	o__Coriobacteriales	f__Coriobacteriaceae	g__Collinsella	Collinsella HGM04300	OTU-12039	1702	2071	0	2192	0	2030	0	973	0	0	792	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1595	0	0	0	1494	0	2228	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1822	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	612	0	0	1380	0	829	0	0	1238
d__Bacteria	p__Actinobacteria	c__Coriobacteriia	o__Coriobacteriales	f__Coriobacteriaceae	g__Collinsella	Collinsella HGM04304	OTU-12480	281	312	0	0	0	198	0	244	0	0	163	0	0	0	0	0	217	155	0	0	0	0	0	590	0	0	214	0	0	0	0	0	0	314	162	404	0	182	0	0	0	0	0	0	0	0	0	0	0	0	0	240	412	0	2858	0	0	0	1861	236	2687	0	0	0	0	0	0	0	0	0	0	0	0	0	0	230	5356	0	0	0	0	0	401	0	144	0	0	0	0	0	0	0	0	0	0	0	0	1135	0	0	560
d__Bacteria	p__Actinobacteria	c__Coriobacteriia	o__Coriobacteriales	f__Coriobacteriaceae	g__Collinsella	Collinsella HGM04315	OTU-10138	0	0	0	0	0	0	0	0	0	0	0	1004	0	0	0	0	2405	1279	0	0	416	1372	0	529	0	0	0	0	4504	3845	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4179	0	0
d__Bacteria	p__Actinobacteria	c__Coriobacteriia	o__Coriobacteriales	f__Coriobacteriaceae	g__Collinsella	Collinsella sp.	OTU-11969	961	323	224	507	101	408	105	523	78	46	615	337	28	40	0	120	381	174	241	100	82	79	66	182	181	96	94	80	239	214	0	267	0	248	432	111	201	54	0	42	0	0	0	0	0	0	0	0	21	196	43	87	608	89	993	177	333	102	332	71	929	0	0	0	0	154	92	0	98	80	0	0	456	0	662	160	312	172	0	108	0	0	39	94	244	103	70	0	22	215	0	0	484	0	148	558	168	1457	624	126	759
d__Bacteria	p__Actinobacteria	c__Coriobacteriia	o__Coriobacteriales	f__Eggerthellaceae	g__Adlercreutzia	Adlercreutzia HGM04332	OTU-05198	0	0	0	0	0	0	0	0	0	0	0	0	869	2187	0	1959	0	0	4295	0	0	0	0	0	0	3716	0	4476	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1718	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria	p__Actinobacteria	c__Coriobacteriia	o__Coriobacteriales	f__Eggerthellaceae	g__Adlercreutzia	Asaccharobacter celatus	OTU-12012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	433	0	0	0	0	424	0	812	0	0	0	0	0	0	0	0	452	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	220	3023	0	0	232	2835	0	3203	0	0	0	0	0	0	0	0	0	0	0	0	0	0	315	4530	370	0	0	0	0	371	0	353	0	0	0	0	651	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria	p__Actinobacteria	c__Coriobacteriia	o__Coriobacteriales	f__Eggerthellaceae	g__CAG-1427	Eggerthellaceae HGM04350	OTU-12396	1831	1499	0	856	0	760	0	506	0	0	0	379	0	0	0	0	0	184	0	0	0	546	0	470	0	0	0	0	0	158	0	0	0	0	0	670	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	705	0	248	0	0	0	0	412	0	0	1664	0	0	800	0	4185	0	0	1553
